Location,Building Type,Max Price Per Room,SDA Design Category,Vacancy,Has Fire Sprinklers,Has Breakout Room,Onsite Overnight Assistance
Clyde VIC 3978,"House, 3 residents",60498.28,High Physical Support,3,0,0,1
Clyde VIC 3978,"House, 2 residents",87109.28,High Physical Support,3,0,0,1
Melton South VIC 3338,"House, 3 residents",66943.58,High Physical Support,3,1,0,1
Berwick VIC 3806,"House, 3 residents",53070.2,High Physical Support,3,0,0,0
Officer VIC 3809,"House, 2 residents",81945.32,Robust,2,0,1,1
Flinders View QLD 4305,"House, 2 residents",79534.56,High Physical Support,1,0,0,1
Zuccoli NT 0832,"House, 2 residents",104808.78,High Physical Support,1,0,0,1
Kilsyth VIC 3137,"House, 3 residents",54154.32,High Physical Support,2,0,0,1
Wallan VIC 3756,"House, 2 residents",80163.9,Robust,2,0,1,1
Colac VIC 3250,"House, 2 residents",79107.8,High Physical Support,2,1,0,1
Darley VIC 3340,"House, 2 residents",86398.87,Robust,2,0,1,1
Loganlea QLD 4131,"Apartment, 1 bedroom, 1 resident",113202.36,High Physical Support,1,0,0,1
Chermside QLD 4032,"Apartment, 2 bedroom, 1 resident",84017.36,Improved Liveability,1,0,0,0
Griffin QLD 4503,"House, 3 residents",54769.71,High Physical Support,2,0,0,1
Ormeau QLD 4208,"House, 3 residents",55385.1,High Physical Support,1,0,0,1
Brassall QLD 4305,"House, 2 residents",63697.2,Fully Accessible,2,0,0,1
Pimpama QLD 4209,"House, 3 residents",47216.7,Fully Accessible,3,0,0,1
Bald Hills QLD 4036,"House, 3 residents",60308.22,High Physical Support,1,0,0,1
Warwick QLD 4370,"House, 2 residents",75497.85,High Physical Support,1,0,0,1
Hillcrest QLD 4118,"House, 3 residents",57231.27,High Physical Support,1,0,0,1
Logan Central QLD 4114,"House, 2 residents",82603.53,High Physical Support,1,0,0,1
Loganlea QLD 4131,"Villa / Duplex / Townhouse, 1 residents",66357.76,Robust,1,0,0,1
Burpengary East QLD 4505,"House, 3 residents",54769.71,High Physical Support,3,0,0,1
Kingston QLD 4114,"House, 2 residents",82603.53,High Physical Support,1,0,0,1
Caboolture South QLD 4510,"Apartment, 2 bedroom, 1 resident",107645.67,High Physical Support,2,0,0,1
Wynnum QLD 4178,"Apartment, 2 bedroom, 1 resident",107594.34,High Physical Support,1,1,0,1
Wynnum QLD 4178,"Apartment, 2 bedroom, 1 resident",107594.34,High Physical Support,2,1,0,1
Loganholme QLD 4129,"Apartment, 2 bedroom, 1 resident",118686.54,High Physical Support,1,1,0,1
Loganholme QLD 4129,"Apartment, 2 bedroom, 1 resident",118686.54,High Physical Support,1,1,0,1
Wellington Point QLD 4160,"House, 2 residents",68344.96,Improved Liveability,2,0,0,1
Hillvue NSW 2340,"House, 2 residents",71509.86,Improved Liveability,3,1,0,1
Chermside QLD 4032,"Apartment, 1 bedroom, 1 resident",79785.72,Improved Liveability,1,0,0,0
Zuccoli NT 0832,"House, 2 residents",111727.12,High Physical Support,2,0,0,1
Farrar NT 0830,"Villa / Duplex / Townhouse, 1 residents",87099.43,Robust,1,0,0,1
Newtown QLD 4350,"House, 2 residents",79534.56,High Physical Support,2,0,0,1
Ashmore QLD 4214,"House, 2 residents",79938.9,High Physical Support,2,0,0,1
Hillvue NSW 2340,"House, 2 residents",72903.92,Fully Accessible,2,1,0,1
Millner NT 0810,"Villa / Duplex / Townhouse, 1 residents",94181.56,High Physical Support,3,1,0,1
Moil NT 0810,"House, 2 residents",104808.78,High Physical Support,2,0,0,1
South Tamworth NSW 2340,"House, 2 residents",80038.48,High Physical Support,2,1,0,1
Durack NT 0830,"Villa / Duplex / Townhouse, 1 residents",87099.43,Robust,2,0,0,1
Ormeau QLD 4208,"House, 2 residents",79938.9,High Physical Support,2,0,0,1
Woolner NT 0820,"House, 2 residents",109820.24,High Physical Support,2,1,0,1
Bayview NT 0820,"House, 2 residents",109820.24,High Physical Support,2,1,0,1
Dalby QLD 4405,"House, 2 residents",75497.85,High Physical Support,2,0,0,1
Burpengary QLD 4505,"House, 2 residents",84268.76,High Physical Support,3,0,0,1
Ormeau QLD 4208,"House, 2 residents",79938.9,High Physical Support,2,0,0,1
Corio VIC 3214,"House, 2 residents",82746.75,High Physical Support,2,1,0,1
Rochedale QLD 4123,"Villa / Duplex / Townhouse, 1 residents",72848.3,High Physical Support,1,1,0,0
Zuccoli NT 0832,"Villa / Duplex / Townhouse, 1 residents",94181.56,High Physical Support,1,1,0,1
Zuccoli NT 0832,"House, 3 residents",77529.6,High Physical Support,3,1,0,1
Alstonville NSW 2477,"House, 2 residents",71316.48,Improved Liveability,2,0,0,1
Oakleigh VIC 3166,"House, 3 residents",46325.68,Improved Liveability,1,1,0,0
Baldivis WA 6171,"House, 2 residents",95630.84,High Physical Support,2,0,0,1
Clyde VIC 3978,"House, 2 residents",85622.56,High Physical Support,2,1,0,1
Seaton SA 5023,"Villa / Duplex / Townhouse, 3 residents",44205.98,High Physical Support,2,1,0,1
