postcode,locality,state,sa3name,sa4name
0200,ANU,ACT,,
0200,Australian National University,ACT,,
0800,DARWIN,NT,Darwin City,Darwin
0800,DARWIN CITY,NT,Darwin City,Darwin
0801,DARWIN,NT,Darwin City,Darwin
0803,WAGAIT BEACH,NT,Katherine,Northern Territory - Outback
0804,PARAP,NT,Darwin Suburbs,Darwin
0810,ALAWA,NT,Darwin Suburbs,Darwin
0810,BRINKIN,NT,Darwin Suburbs,Darwin
0810,CASUARINA,NT,Darwin Suburbs,Darwin
0810,COCONUT GROVE,NT,Darwin Suburbs,Darwin
0810,JINGILI,NT,Darwin Suburbs,Darwin
0810,LEE POINT,NT,Darwin Suburbs,Darwin
0810,LYONS,NT,Darwin Suburbs,Darwin
0810,MILLNER,NT,Darwin Suburbs,Darwin
0810,MOIL,NT,Darwin Suburbs,Darwin
0810,MUIRHEAD,NT,Darwin Suburbs,Darwin
0810,NAKARA,NT,Darwin Suburbs,Darwin
0810,NIGHTCLIFF,NT,Darwin Suburbs,Darwin
0810,RAPID CREEK,NT,Darwin Suburbs,Darwin
0810,TIWI,NT,Darwin Suburbs,Darwin
0810,WAGAMAN,NT,Darwin Suburbs,Darwin
0810,WANGURI,NT,Darwin Suburbs,Darwin
0811,CASUARINA,NT,Darwin Suburbs,Darwin
0812,ANULA,NT,Darwin Suburbs,Darwin
0812,BUFFALO CREEK,NT,Darwin Suburbs,Darwin
0812,HOLMES,NT,Darwin Suburbs,Darwin
0812,KARAMA,NT,Darwin Suburbs,Darwin
0812,LEANYER,NT,Darwin Suburbs,Darwin
0812,MALAK,NT,Darwin Suburbs,Darwin
0812,MARRARA,NT,Darwin Suburbs,Darwin
0812,NORTHLAKES,NT,Darwin Suburbs,Darwin
0812,SANDERSON,NT,Darwin Suburbs,Darwin
0812,WOODLEIGH GARDENS,NT,Darwin Suburbs,Darwin
0812,WULAGI,NT,Darwin Suburbs,Darwin
0813,KARAMA,NT,Darwin Suburbs,Darwin
0813,SANDERSON,NT,Darwin Suburbs,Darwin
0814,NIGHTCLIFF,NT,Darwin Suburbs,Darwin
0815,CHARLES DARWIN UNIVERSITY,NT,Darwin Suburbs,Darwin
0820,BAGOT,NT,Darwin Suburbs,Darwin
0820,BAYVIEW,NT,Darwin Suburbs,Darwin
0820,CHARLES DARWIN,NT,Darwin Suburbs,Darwin
0820,COONAWARRA,NT,Darwin Suburbs,Darwin
0820,CULLEN BAY,NT,Darwin Suburbs,Darwin
0820,DARWIN DC,NT,Darwin Suburbs,Darwin
0820,DARWIN INTERNATIONAL AIRPORT,NT,Darwin Suburbs,Darwin
0820,DARWIN MC,NT,Darwin Suburbs,Darwin
0820,EAST POINT,NT,Darwin Suburbs,Darwin
0820,EATON,NT,Darwin Suburbs,Darwin
0820,FANNIE BAY,NT,Darwin Suburbs,Darwin
0820,LARRAKEYAH,NT,Darwin Suburbs,Darwin
0820,LUDMILLA,NT,Darwin Suburbs,Darwin
0820,PARAP,NT,Darwin Suburbs,Darwin
0820,RAAF BASE DARWIN,NT,Darwin Suburbs,Darwin
0820,STUART PARK,NT,Darwin Suburbs,Darwin
0820,THE GARDENS,NT,Darwin Suburbs,Darwin
0820,THE NARROWS,NT,Darwin Suburbs,Darwin
0820,WINNELLIE,NT,Darwin Suburbs,Darwin
0820,WOOLNER,NT,Darwin Suburbs,Darwin
0821,WINNELLIE,NT,Katherine,Northern Territory - Outback
0822,ACACIA HILLS,NT,Katherine,Northern Territory - Outback
0822,ANGURUGU,NT,Katherine,Northern Territory - Outback
0822,ANINDILYAKWA,NT,Katherine,Northern Territory - Outback
0822,ANNIE RIVER,NT,Katherine,Northern Territory - Outback
0822,BATHURST ISLAND,NT,Katherine,Northern Territory - Outback
0822,BEES CREEK,NT,Katherine,Northern Territory - Outback
0822,BELYUEN,NT,Katherine,Northern Territory - Outback
0822,BLACK JUNGLE,NT,Katherine,Northern Territory - Outback
0822,BLACKMORE,NT,Katherine,Northern Territory - Outback
0822,BORDER STORE,NT,Katherine,Northern Territory - Outback
0822,BURRUNDIE,NT,Katherine,Northern Territory - Outback
0822,BYNOE,NT,Katherine,Northern Territory - Outback
0822,BYNOE HARBOUR,NT,Katherine,Northern Territory - Outback
0822,CAMP CREEK,NT,Katherine,Northern Territory - Outback
0822,CHANNEL ISLAND,NT,Katherine,Northern Territory - Outback
0822,CHARLES DARWIN,NT,Katherine,Northern Territory - Outback
0822,CHARLOTTE,NT,Katherine,Northern Territory - Outback
0822,CLARAVALE,NT,Katherine,Northern Territory - Outback
0822,COBOURG,NT,Katherine,Northern Territory - Outback
0822,COLLETT CREEK,NT,Katherine,Northern Territory - Outback
0822,COOMALIE CREEK,NT,Katherine,Northern Territory - Outback
0822,COX PENINSULA,NT,Katherine,Northern Territory - Outback
0822,CROKER ISLAND,NT,Katherine,Northern Territory - Outback
0822,DALY,NT,Katherine,Northern Territory - Outback
0822,DALY RIVER,NT,Katherine,Northern Territory - Outback
0822,DARWIN MC,NT,Katherine,Northern Territory - Outback
0822,DARWIN RIVER DAM,NT,Katherine,Northern Territory - Outback
0822,DELISSAVILLE,NT,Katherine,Northern Territory - Outback
0822,DOUGLAS-DALY,NT,Katherine,Northern Territory - Outback
0822,EAST ARM,NT,Katherine,Northern Territory - Outback
0822,EAST ARNHEM,NT,Katherine,Northern Territory - Outback
0822,ELRUNDIE,NT,Katherine,Northern Territory - Outback
0822,EVA VALLEY,NT,Katherine,Northern Territory - Outback
0822,FINNISS VALLEY,NT,Katherine,Northern Territory - Outback
0822,FLEMING,NT,Katherine,Northern Territory - Outback
0822,FLY CREEK,NT,Katherine,Northern Territory - Outback
0822,FREDS PASS,NT,Katherine,Northern Territory - Outback
0822,GALIWINKU,NT,Katherine,Northern Territory - Outback
0822,GLYDE POINT,NT,Katherine,Northern Territory - Outback
0822,GOULBOURN ISLAND,NT,Katherine,Northern Territory - Outback
0822,GOULBURN ISLAND,NT,Katherine,Northern Territory - Outback
0822,GUNBALANYA,NT,Katherine,Northern Territory - Outback
0822,GUNN POINT,NT,Katherine,Northern Territory - Outback
0822,HAYES CREEK,NT,Katherine,Northern Territory - Outback
0822,HIDDEN VALLEY,NT,Katherine,Northern Territory - Outback
0822,HOTHAM,NT,Katherine,Northern Territory - Outback
0822,HUGHES,NT,Katherine,Northern Territory - Outback
0822,KAKADU,NT,Katherine,Northern Territory - Outback
